recipe_id,title,base_servings,kcal,fun_fact,ingredients,procedures,diabetes,hypertension,obesity_overweight,underweight_malnutrition,heart_disease_cholesterol,anemia,osteoporosis,none,Lunch,Dinner,Snack
1,Chicken Lumpia and Ginulay na Mais at Malunggay,20,552,Kids enjoy veggies when hidden in tasty lumpia. Malunggay boosts vitamin A and C for immunity.,"Ground chicken (3 cups); Carrots, chopped (1.33 cups); Kinchay, chopped (0.33 cups); Lumpia wrapper (20 pcs); Corn, shredded (4 cups); Malunggay leaves, chopped (3 cups)","Step 1: Sauté garlic and onion, then add corn and water and let it simmer. Step 2: Mix ground chicken, carrots, and kinchay, then wrap the mixture in lumpia wrappers. Step 3: Add malunggay leaves to the corn mixture and serve, while frying the lumpia until golden brown.",0,0,0,1,0,1,0,1,1,1,1
2,Ground Pork Menudo,20,563,Raisins provide iron for healthy growth.,"Ground pork (4 cups); Potato, cubed (3.5 cups)",Step 1: Brown ground pork.; Step 2: Add potatoes and simmer until tender.; Step 3: Add vegetables and seasonings; simmer until cooked.,0,0,0,1,0,1,0,1,1,1,0
3,Tokwa Balls with Gravy,20,623,"Tokwa is a protein-rich, affordable meat substitute.","Tokwa (tofu), mashed (3 cups); Ground pork (2 cups)",Step 1: Mash tofu and mix with ground pork.; Step 2: Form into balls and fry until golden.; Step 3: Prepare gravy and serve with balls.,0,0,0,1,0,0,1,1,1,1,1
4,Sardines-Kalabasa Patties,20,576,Sardines are rich in calcium for strong bones.,"Sardines, mashed (2 cups); Kalabasa (squash), grated (3 cups)",Step 1: Mash sardines and mix with grated squash.; Step 2: Form into patties and fry until golden.,1,1,1,0,1,1,1,1,1,1,1
5,Chicken Almondigas,20,571,This recipe is high in vitamin A and C which can boosts your child’s immunity against infections and diseases.,"Chicken eggs, beaten (4 pcs);  Chicken breast, ground (3 cups); Carrots, chopped (1 1/2 cups); Cooking oil, for frying (2 cups)","Step 1: Make and fry meatballs; Step 2: Sauté garlic and onion then add water, patis, patola, and meatballs; Step 3: Add misua, carrots, and malunggay then simmer until cooked.",0,1,1,0,0,1,0,1,1,1,0
6,Ground pork picadillo soup with vegetable tempura,20,586,"For picky eaters, make vegetables more interesting by dipping in batter and frying to achieve that crispy texture.",Pork liempo (3 cups); Carrots (1/2 cup); Sayote (1 1/3 cups); Malunggay leaves (3 cups); Kalabasa,"Step 1: Saute garlic, onion, and ground pork; Step 2: Add water, salt, and pepper then boil; Step 3: Add carrots, sayote, and malunggay then simmer until cooked.",0,1,1,0,0,1,0,1,1,1,0
7,Veggie patties with liver,20,589,Incorporate ground liver in patties. Liver is loaded with iron and vitamin A.,Egg(4 pcs); Chicken breast (4 cups); Chicken liver (1/4 cup); Garlic (2 Tbsp); Kalabasa (2 cups); Kulitis/Spinach (5 cups),"Step 1: Mix eggs, chicken, liver, garlic, kalabasa, and kulitis; Step 2: Shape into patties; Step 3: Fry until browned and serve with catsup.",0,1,1,0,0,1,1,1,1,1,1
8,Ginataang munggo and kalabasa with dilis,20,565,Add gata to your classic ginisang munggo to enhance its flavor and provide more energy to children.,"Munggo (1 1/2 cups); Dilis(2 cups); Garlic (1/3 cup); Ginger (2 Tbsp); Tomato, (1/4 cup); Kalabasa (2 cups); Coconut cream (2 cups); Malunggay (4 cups)","Step 1: Boil munggo until soft; Step 2: Fry dilis until crisp and set aside; Step 3: Sauté garlic, ginger, and tomato, then add munggo, kalabasa, coconut cream, and malunggay, simmer, and serve with dilis on top.",0,1,1,0,0,1,0,1,1,1,0
9,Pork ginisang sinigang,20,546,Gabi is a good source of fiber and minerals which is essential for digestive health., Pork liempo (4 cups);  Gabi (2 cups); Sitaw (3 cups); Sinigang mix ( pack); Kangkong (1/2 cups),"Step 1: Sauté tomato and pork; Step 2: Add water and simmer until pork is tender; Step 3: Add gabi, sitaw, sinigang mix, and kangkong then simmer until cooked.",0,1,1,0,0,1,0,1,1,1,0
10,Sweet and sour meatballs,20,589,Upgrade children’s meal by adding carrots and kamote tops which are good sources of vitamin A for healthy eyes and skin.,"Eggs (4 pcs); Chicken breast (3 cups); Kamote tops (4 cups); Carrots, (1 1/2 cups); Pineapple (1 can)","Step 1: Mix chicken, kamote tops, and eggs into balls then fry; Step 2: Saute garlic, onion, and carrots then add catsup, pineapple syrup, vinegar, and slurry; Step 3: Add meatballs with pineapple, simmer, and serve with spring onions.",0,1,1,0,0,1,1,1,1,1,1
